,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
14,Karlsruher SC,1.01,1.7,-0.69,1.01,1.49,-0.48,0,0.21,-0.21,1.01,1.7,-0.69,0,1,-1,-0.31,54.7,61.45,44.29,0.82,0.55,194,10,9,14,10.98,25.45,13.74,3,6,23,4,9,97.2,63.65,15.87,14.74,61.63,34.86,0,Eintracht Braunschweig 1-0 Karlsruher SC,2026-01-31,L,0,0,0,1,6.75,0.2699999999999999,0.93,-0.93,1.2317073170731707,1.2317073170731707,3.0909090909090904,2.709090909090909
15,Karlsruher SC,1.71,1.56,0.15,1.66,1.37,0.29,0.05,0.19,-0.14,1.71,1.56,0.15,2,2,0,-0.15,37.4,37.57,46.49,0.16,1.3,143,8,14,18,87.5,13.85,22.75,1,4,16,3,7,43.4,18.9,118.73,93,84.97,48.16,2,Karlsruher SC 2-2 Hertha BSC,2026-01-24,D,1,0,1,0,0.1700000000000017,-1.1400000000000001,1.61,-0.61,10.6875,10.375,1.2,1.0538461538461539
16,Karlsruher SC,1.24,1.36,-0.12,0.37,1.26,-0.89,0.11,0.1,0.01,0.48,1.36,-0.88,2,0,2,2.12,36.5,47.32,47.33,0.47,0.85,183,9,14,16,29.79,18.82,19.74,8,1,19,9,11,57.5,38.03,121.87,94.18,138.43,76.26,1,Preußen Münster 0-2 Karlsruher SC,2026-01-17,W,3,1,0,0,10.82,-0.38,1.39,1.61,2.638297872340426,0.7872340425531915,1.6,1.4823529411764707
17,Karlsruher SC,2.19,1.4,0.79,2.15,1.27,0.88,0.03,0.13,-0.1,2.19,1.4,0.79,2,2,0,-0.79,62.4,62.21,46.9,1.5,0.7,309,10,11,11,7.33,15.71,17.95,2,5,24,3,10,138.8,76.52,10.07,5.7,59.17,31.88,1,Bochum 2-2 Karlsruher SC,2025-12-20,D,1,0,1,0,-0.18999999999999773,0.8,2,-1,1.46,1.4333333333333333,2,1.8142857142857145
18,Karlsruher SC,0.09,3.54,-3.45,0.08,3.2,-3.12,0.01,0.33,-0.32,0.09,3.54,-3.45,0,4,-4,-0.55,30,32.84,47.39,0.5,0.89,126,8,4,27,8,30.34,20.65,2,2,13,1,14,17.8,6.31,159.33,91.64,51.97,23.47,1,Karlsruher SC 0-4 Paderborn,2025-12-13,L,0,0,0,1,2.8400000000000034,-0.39,0.01,-0.01,0.18,0.16,3.9775280898876404,3.5955056179775284
19,Karlsruher SC,1.15,3.76,-2.61,0.93,3.32,-2.39,0.22,0.44,-0.22,1.15,3.76,-2.61,2,3,-1,1.61,42.7,49.83,47.77,0.75,0.71,189,12,11,24,14.67,33.8,41.7,0,2,24,9,10,56.3,31.9,101.67,69.48,40.39,23.32,1,Darmstadt 98 3-2 Karlsruher SC,2025-12-06,L,0,0,0,1,7.1299999999999955,0.040000000000000036,0.42,-0.42,1.5333333333333332,1.24,5.295774647887324,4.676056338028169
20,Karlsruher SC,0.64,3.85,-3.21,0.6,3.79,-3.19,0.04,0.06,-0.02,0.64,3.85,-3.21,0,3,-3,0.21,44,34.83,39.29,0.38,1.19,139,8,9,18,23.68,15.13,23.38,3,6,11,1,8,41.7,19.98,113.47,61.14,32.89,15.79,2,Hannover 96 3-0 Karlsruher SC,2025-11-28,L,0,0,0,1,-9.170000000000002,-0.8099999999999999,0.18,-0.18,1.6842105263157894,1.5789473684210527,3.235294117647059,3.184873949579832
21,Karlsruher SC,1.07,3.38,-2.31,0.69,2.75,-2.06,0.38,0.63,-0.25,1.07,3.38,-2.31,2,3,-1,1.31,52.3,43.75,41.08,0.9,1.09,160,17,11,26,12.22,23.85,9.68,6,6,12,4,15,66,28.49,30.87,26.37,27.17,11.56,1,Karlsruher SC 2-3 Elversberg,2025-11-23,L,0,0,0,1,-8.549999999999997,-0.19000000000000006,0.44,-0.44,1.1888888888888889,0.7666666666666666,3.10091743119266,2.5229357798165135
22,Karlsruher SC,0.3,2.71,-2.41,0.16,1.95,-1.79,0.14,0,0.14,0.3,1.95,-1.65,0,4,-4,-1.59,55.1,48.53,42.07,0.47,0.95,202,8,8,19,17.02,20,17.17,1,3,13,5,11,52,31.21,25.2,17.28,24.03,7.22,0,Arminia Bielefeld 4-0 Karlsruher SC,2025-11-08,L,0,0,0,1,-6.57,-0.48,0.1,-0.1,0.6382978723404256,0.34042553191489366,2.8526315789473684,2.0526315789473686
23,Karlsruher SC,0.88,1.51,-0.63,0.74,0.65,0.09,0.14,0.1,0.04,0.88,0.75,0.13,2,1,1,1.63,64.2,53.3,36.56,0.45,0.38,122,8,8,11,17.78,28.95,7.24,4,6,8,2,13,75.3,48.08,0.33,0.19,14,6.78,1,Karlsruher SC 2-1 Schalke 04,2025-11-01,W,3,1,0,0,-10.900000000000006,0.07,0.91,2.09,1.9555555555555555,1.6444444444444444,3.973684210526316,1.7105263157894737
