,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
24,Dynamo Dresden,1.08,1.35,-0.27,0.18,0.54,-0.36,0.14,0.04,0.1,0.32,0.59,-0.27,1,2,-1,-0.73,46,46.51,42.96,0.58,0.63,156,11,8,12,13.79,19.05,14.89,6,7,28,10,9,48.5,36.41,79.13,69.87,91.67,51.14,3,Dynamo Dresden 1-2 Paderborn,2025-10-25,L,0,0,0,1,0.509999999999998,-0.050000000000000044,1.25,-1.25,1.8620689655172415,0.3103448275862069,2.142857142857143,0.8571428571428572
25,Dynamo Dresden,2.23,0.86,1.37,1.93,0.86,1.07,0.29,0,0.29,2.23,0.86,1.37,2,2,0,-1.37,37.3,38.7,44.04,0.53,0.58,152,11,14,13,26.42,22.41,10.71,6,7,17,3,13,73,33.15,115,84.73,148.93,62.42,3,Preußen Münster 2-2 Dynamo Dresden,2025-10-18,D,1,0,1,0,1.4000000000000057,-0.04999999999999993,2.44,-1.44,4.2075471698113205,3.641509433962264,1.4827586206896552,1.4827586206896552
26,Dynamo Dresden,2.13,2.87,-0.74,2.05,2.54,-0.49,0.08,0.33,-0.25,2.13,2.87,-0.74,3,3,0,0.74,55.5,50.68,45.76,1.09,0.93,201,15,13,22,11.93,23.66,11.27,2,4,19,3,10,84.4,34.9,23.07,28.72,49.4,21.11,4,Dynamo Dresden 3-3 Karlsruher SC,2025-10-04,D,1,0,1,0,-4.82,0.16000000000000003,1.16,-0.16,1.9541284403669723,1.880733944954128,3.086021505376344,2.7311827956989245
27,Dynamo Dresden,0.51,2.91,-2.4,0.44,2.81,-2.37,0.07,0.1,-0.03,0.51,2.91,-2.4,0,2,-2,0.4,60,48.22,40.06,0.36,0.34,182,8,12,11,33.33,32.35,9.52,6,6,19,4,13,64.4,45.58,16.6,12.06,29.67,13.52,1,Darmstadt 98 2-0 Dynamo Dresden,2025-09-26,L,0,0,0,1,-11.780000000000001,0.019999999999999962,0.19,-0.19,1.4166666666666667,1.2222222222222223,8.558823529411764,8.26470588235294
28,Dynamo Dresden,1.39,3.67,-2.28,0.58,2.44,-1.86,0.81,0.47,0.34,1.39,2.91,-1.52,2,2,0,2.28,32.3,30.75,44.74,0.51,1.33,105,8,9,17,17.65,12.78,13.14,6,2,16,5,15,43.5,15.28,137.07,91.46,71.47,29.19,5,Dynamo Dresden 2-2 Hannover 96,2025-09-21,D,1,0,1,0,-1.5499999999999972,-0.8200000000000001,0.55,0.45,2.725490196078431,1.1372549019607843,2.7593984962406015,1.8345864661654134
29,Dynamo Dresden,2.18,2.67,-0.49,2.12,2.49,-0.37,0.06,0.18,-0.12,2.18,2.67,-0.49,2,2,0,0.49,36.3,34.25,41.72,0.64,1.07,112,6,11,22,17.19,20.56,16.7,7,4,15,5,12,51.9,18,76.07,77.78,73.7,32.61,2,Elversberg 2-2 Dynamo Dresden,2025-09-14,D,1,0,1,0,-2.049999999999997,-0.43000000000000005,1.27,-0.27,3.40625,3.3125,2.495327102803738,2.3271028037383177
30,Dynamo Dresden,1.46,1.36,0.1,1.37,0.33,1.04,0.09,0.26,-0.17,1.46,0.6,0.86,0,1,-1,-1.1,60.5,44.6,38.56,0.52,0.38,145,6,5,16,9.62,42.11,10.95,2,6,23,1,11,30.7,21.82,2.87,2,2.5,1.11,2,Dynamo Dresden 0-1 Schalke 04,2025-08-31,L,0,0,0,1,-15.899999999999999,0.14,1.58,-1.58,2.8076923076923075,2.6346153846153846,3.5789473684210527,0.868421052631579
31,Dynamo Dresden,1.73,1.05,0.68,1.41,0.87,0.54,0.31,0.18,0.13,1.73,1.05,0.68,2,1,1,0.32,43.9,55.06,53.18,1.6,0.91,199,28,21,12,13.12,13.19,10.97,5,6,26,5,17,174,67.1,105.33,82.94,228.13,87.21,3,Arminia Bielefeld 1-2 Dynamo Dresden,2025-08-24,W,3,1,0,0,11.160000000000004,0.6900000000000001,2.05,0.95,1.0812499999999998,0.8812499999999999,1.153846153846154,0.956043956043956
32,Dynamo Dresden,3.36,0.99,2.37,2.76,0.75,2.01,0.6,0.25,0.35,3.36,0.99,2.37,1,2,-1,-3.37,59.6,72.32,47.41,0.99,0.53,226,19,23,9,23.23,16.98,9.44,5,2,30,6,10,191.1,87.06,27.47,30.8,130,71.87,3,Dynamo Dresden 1-2 Magdeburg,2025-08-09,L,0,0,0,1,12.719999999999992,0.45999999999999996,2.6,-2.6,3.393939393939394,2.7878787878787876,1.8679245283018866,1.4150943396226414
33,Dynamo Dresden,1.28,2.18,-0.9,1.05,2.01,-0.96,0.23,0.17,0.06,1.28,2.18,-0.9,2,3,-1,-0.1,68.8,76.29,53.93,1.51,0.58,343,22,21,10,13.91,17.24,8.26,3,2,42,10,11,229.7,92.92,9.73,8.63,149.77,71.36,4,Greuther Fürth 3-2 Dynamo Dresden,2025-08-03,L,0,0,0,1,7.490000000000009,0.93,0.92,-0.92,0.847682119205298,0.695364238410596,3.758620689655173,3.46551724137931
