,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
10,Darmstadt 98,1.76,2.08,-0.32,1.18,2.02,-0.84,0.58,0.06,0.52,1.76,2.08,-0.32,1,3,-2,-1.68,51,54.39,47.55,0.68,0.71,247,15,17,19,25,26.76,11.86,4,3,30,8,13,102.3,51.15,63.27,54.45,85.94,36.93,0,Dynamo Dresden 3-1 Darmstadt 98,2026-02-27,L,0,0,0,1,3.3900000000000006,-0.029999999999999916,1.31,-1.31,2.5882352941176467,1.7352941176470587,2.9295774647887325,2.8450704225352115
11,Darmstadt 98,2.11,1.95,0.16,1.47,1.55,-0.08,0.64,0.4,0.24,2.11,1.95,0.16,2,1,1,0.84,53.5,50.93,48.86,1.62,0.61,218,20,14,18,8.64,29.51,10.59,3,1,18,4,12,108.2,53.33,32.4,40.1,90.87,49.59,0,Darmstadt 98 2-1 Fortuna Düsseldorf,2026-02-21,W,3,1,0,0,-2.5700000000000003,1.0100000000000002,1.59,1.41,1.302469135802469,0.9074074074074073,3.19672131147541,2.540983606557377
12,Darmstadt 98,1.38,1.95,-0.57,0.89,1.15,-0.26,0.49,0.04,0.45,1.38,1.19,0.19,2,2,0,0.57,62.6,54.45,42.67,1.11,0.86,209,14,12,15,10.81,17.44,10.54,7,6,16,7,7,96,53.36,7.6,5.22,49.57,20.58,2,Eintracht Braunschweig 2-2 Darmstadt 98,2026-02-14,D,1,0,1,0,-8.149999999999999,0.2500000000000001,1.11,-0.11,1.243243243243243,0.8018018018018017,2.2674418604651163,1.3372093023255813
13,Darmstadt 98,3.08,1.95,1.13,2.13,1.8,0.33,0.19,0.15,0.04,2.32,1.95,0.37,4,0,4,2.87,46.9,48.36,44.77,0.41,0.68,186,16,15,16,36.59,23.53,9.88,4,2,14,6,8,74.8,39.56,60.13,60.46,165.93,73.01,0,Darmstadt 98 4-0 Kaiserslautern,2026-02-07,W,3,1,0,0,1.4600000000000009,-0.2700000000000001,2.01,0.99,7.51219512195122,5.195121951219512,2.867647058823529,2.6470588235294117
14,Darmstadt 98,3.73,2.3,1.43,2.33,2.08,0.25,0.64,0.22,0.42,2.97,2.3,0.67,2,2,0,-1.43,56.1,55.44,48.72,1.02,0.83,277,19,15,13,14.71,15.66,9.58,7,4,21,6,15,139.6,60.07,47.53,38.5,93.97,43.23,0,Hertha BSC 2-2 Darmstadt 98,2026-02-01,D,1,0,1,0,-0.6600000000000037,0.19000000000000006,2.03,-1.03,3.656862745098039,2.284313725490196,2.7710843373493974,2.5060240963855422
15,Darmstadt 98,1.35,1.98,-0.63,1.27,1.78,-0.51,0.07,0.2,-0.13,1.35,1.98,-0.63,2,0,2,2.63,48.7,44.61,46.42,0.58,0.69,212,11,9,20,15.52,28.99,14.69,10,2,18,3,8,55.9,27.54,46.67,46.95,77.77,34.77,0,Darmstadt 98 2-0 Nürnberg,2026-01-23,W,3,1,0,0,-4.090000000000003,-0.10999999999999999,1.07,1.93,2.327586206896552,2.189655172413793,2.8695652173913047,2.5797101449275366
16,Darmstadt 98,1.22,3.42,-2.2,0.88,3.12,-2.24,0.34,0.3,0.04,1.22,3.42,-2.2,3,3,0,2.2,43.3,34.19,44.75,0.53,0.59,158,10,9,20,16.98,33.9,18.75,4,8,25,6,8,39.2,16.67,78,59.72,34.13,13.47,0,Bochum 3-3 Darmstadt 98,2026-01-18,D,1,0,1,0,-9.11,-0.05999999999999994,0.51,0.49,2.30188679245283,1.660377358490566,5.796610169491526,5.288135593220339
17,Darmstadt 98,1.05,2.91,-1.86,1.02,1.89,-0.87,0.03,0.26,-0.23,1.05,2.15,-1.1,2,2,0,1.86,35.4,29.71,44.15,0.44,1.23,117,7,9,18,20.45,14.63,29.13,0,7,12,3,9,26.6,11.53,125.33,82.17,90.57,50.6,0,Paderborn 2-2 Darmstadt 98,2025-12-19,D,1,0,1,0,-5.689999999999998,-0.79,0.52,0.48,2.3863636363636362,2.3181818181818183,2.3658536585365857,1.5365853658536586
18,Darmstadt 98,1.88,0.98,0.9,1.42,0.97,0.45,0.46,0.01,0.45,1.88,0.98,0.9,1,0,1,0.1,32,32.31,43.18,0.65,1.28,128,14,15,15,23.08,11.72,16.06,9,3,18,7,10,69.8,25.33,165.73,94.85,154.73,55.49,0,Darmstadt 98 1-0 Preußen Münster,2025-12-14,W,3,1,0,0,0.3100000000000023,-0.63,2.19,0.81,2.8923076923076922,2.1846153846153844,0.765625,0.7578125
19,Darmstadt 98,3.76,1.15,2.61,3.32,0.93,2.39,0.44,0.22,0.22,3.76,1.15,2.61,3,2,1,-1.61,57.3,50.17,46.67,0.71,0.75,224,17,24,11,33.8,14.67,13.52,2,0,17,8,6,120.2,68.1,44.67,30.52,132.78,76.68,2,Darmstadt 98 3-2 Karlsruher SC,2025-12-06,W,3,1,0,0,-7.1299999999999955,-0.040000000000000036,2.58,0.42,5.295774647887324,4.676056338028169,1.5333333333333332,1.24
20,Darmstadt 98,0.79,1.54,-0.75,0.43,1.28,-0.85,0.36,0.26,0.1,0.79,1.54,-0.75,0,0,0,0.75,53.3,56.52,44.88,0.46,1.14,203,12,11,14,23.91,12.28,15.78,7,7,17,5,12,85.9,57.46,31,33.72,78.47,47.68,1,Elversberg 0-0 Darmstadt 98,2025-11-30,D,1,0,1,0,3.220000000000006,-0.6799999999999999,0.79,0.21,1.7173913043478262,0.9347826086956521,1.3508771929824563,1.1228070175438598
21,Darmstadt 98,2.45,1.36,1.09,0.87,0.6,0.27,1.58,0,1.58,2.45,0.6,1.85,4,2,2,0.91,57.9,49.22,42.51,0.58,0.37,211,14,18,14,31.03,37.84,11.93,6,4,12,5,13,120.6,63.61,20.87,20.75,94.4,55.47,1,Darmstadt 98 4-2 Greuther Fürth,2025-11-22,W,3,1,0,0,-8.68,0.20999999999999996,2.14,0.86,4.224137931034483,1.5,3.675675675675676,1.6216216216216215
22,Darmstadt 98,2.14,1.91,0.23,1.84,1.79,0.05,0.3,0.13,0.17,2.14,1.91,0.23,3,2,1,0.77,50.9,38.65,38.37,0.57,0.48,158,12,16,20,28.07,41.67,13.21,3,8,16,5,12,76.9,36.36,49.27,45.31,89.27,35.76,0,Hannover 96 2-3 Darmstadt 98,2025-11-08,W,3,1,0,0,-12.25,0.08999999999999997,1.63,1.37,3.7543859649122813,3.2280701754385968,3.9791666666666665,3.729166666666667
23,Darmstadt 98,2.49,0.69,1.8,1.08,0.54,0.54,1.41,0.16,1.25,2.49,0.69,1.8,2,2,0,-1.8,54.2,52.72,44.72,1.5,0.58,200,20,19,10,12.67,17.24,9.95,4,1,20,9,14,120,72.03,53.13,38.95,136.83,67.44,0,Darmstadt 98 2-2 Arminia Bielefeld,2025-11-01,D,1,0,1,0,-1.480000000000004,0.92,2.63,-1.63,1.6600000000000001,0.7200000000000001,1.1896551724137931,0.9310344827586208
24,Darmstadt 98,0.48,1.74,-1.26,0.37,1.58,-1.21,0.1,0.16,-0.06,0.48,1.74,-1.26,0,1,-1,0.26,61.7,46.51,37.18,0.41,1.18,138,6,7,10,17.07,8.47,8.87,3,10,16,4,13,65.9,39.96,7.07,4.27,22.53,8.81,0,Schalke 04 1-0 Darmstadt 98,2025-10-24,L,0,0,0,1,-15.190000000000005,-0.77,0.36,-0.36,1.170731707317073,0.9024390243902439,1.4745762711864407,1.3389830508474578
25,Darmstadt 98,0.88,0.71,0.17,0.84,0.66,0.18,0.04,0.05,-0.01,0.88,0.71,0.17,0,0,0,-0.17,37.7,37.72,46.17,0.32,0.97,147,11,11,13,34.38,13.4,12.37,4,5,7,1,15,59.1,31.74,107.2,85.21,90.63,56.41,0,Darmstadt 98 0-0 Magdeburg,2025-10-19,D,1,0,1,0,0.01999999999999602,-0.6499999999999999,1.75,-0.75,2.75,2.625,0.7319587628865979,0.6804123711340206
26,Darmstadt 98,0.57,2.52,-1.95,0.57,1.96,-1.39,0,0.56,-0.56,0.57,2.52,-1.95,1,1,0,1.95,39.5,43.9,45.48,0.58,0.64,158,8,8,22,13.79,34.38,18.52,4,1,12,0,13,75.6,35,110.93,80.23,121.43,57.13,0,Holstein Kiel 1-1 Darmstadt 98,2025-10-04,D,1,0,1,0,4.399999999999999,-0.06000000000000005,0.28,0.72,0.9827586206896551,0.9827586206896551,3.9375,3.0625
27,Darmstadt 98,2.91,0.51,2.4,2.81,0.44,2.37,0.1,0.07,0.03,2.91,0.51,2.4,2,0,2,-0.4,40,51.78,47.14,0.34,0.36,167,9,11,12,32.35,33.33,13.76,6,6,21,6,15,76.9,54.42,121.07,87.94,189.73,86.48,1,Darmstadt 98 2-0 Dynamo Dresden,2025-09-26,W,3,1,0,0,11.780000000000001,-0.019999999999999962,2.81,0.19,8.558823529411764,8.26470588235294,1.4166666666666667,1.2222222222222223
28,Darmstadt 98,2.41,0.98,1.43,2.1,0.88,1.22,0.31,0.1,0.21,2.41,0.98,1.43,3,0,3,1.57,48.9,43.23,48.09,1.02,0.88,216,23,18,11,17.65,12.5,12.9,2,5,21,6,15,101.3,48.61,52.27,54.3,132.07,63.78,1,Fortuna Düsseldorf 0-3 Darmstadt 98,2025-09-21,W,3,1,0,0,-5.670000000000002,0.14,2.4,0.6,2.3627450980392157,2.058823529411765,1.1136363636363635,1
29,Darmstadt 98,1.28,1.37,-0.09,1.28,1.37,-0.09,0,0,0,1.28,1.37,-0.09,2,1,1,1.09,57.7,52.36,45.29,0.33,0.49,213,4,10,13,30.3,26.53,9.21,9,3,18,2,11,70.6,49.61,34.8,25.12,55,27.52,0,Darmstadt 98 2-1 Eintracht Braunschweig,2025-09-13,W,3,1,0,0,-5.340000000000003,-0.15999999999999998,1.42,1.58,3.878787878787879,3.878787878787879,2.795918367346939,2.795918367346939
30,Darmstadt 98,1.33,2.04,-0.71,1.22,1.88,-0.66,0.11,0.16,-0.05,1.33,2.04,-0.71,1,3,-2,-1.29,52.9,50.15,47.47,1.03,0.86,229,19,17,17,16.5,19.77,15.13,4,3,23,5,11,115.9,55.88,40.4,40.67,94.9,53.64,1,Kaiserslautern 3-1 Darmstadt 98,2025-08-31,L,0,0,0,1,-2.75,0.17000000000000004,1.02,-1.02,1.2912621359223302,1.1844660194174756,2.372093023255814,2.186046511627907
31,Darmstadt 98,1.04,2.21,-1.17,0.96,2.18,-1.22,0.08,0.03,0.05,1.04,2.21,-1.17,0,0,0,1.17,59.3,64.34,52.02,0.76,0.73,268,20,14,15,18.42,20.55,9.7,2,6,24,7,12,123.9,61.7,41.4,44.58,115.33,59.53,0,Darmstadt 98 0-0 Hertha BSC,2025-08-24,D,1,0,1,0,5.040000000000006,0.030000000000000027,0.72,0.28,1.368421052631579,1.263157894736842,3.0273972602739727,2.986301369863014
32,Darmstadt 98,1.72,1.07,0.65,1.7,0.83,0.87,0.02,0.24,-0.22,1.72,1.07,0.65,1,0,1,0.35,52.3,56.76,45.21,0.45,0.22,167,6,14,12,31.11,54.55,9.46,9,1,18,5,15,86,59.68,65.27,48.95,90.23,58.08,1,Nürnberg 0-1 Darmstadt 98,2025-08-08,W,3,1,0,0,4.460000000000001,0.23,2.02,0.98,3.822222222222222,3.7777777777777777,4.863636363636364,3.7727272727272725
33,Darmstadt 98,3.47,2.09,1.38,1.54,1.95,-0.41,1.94,0.14,1.8,3.47,2.09,1.38,4,1,3,1.62,42.5,56.72,49.36,0.73,0.65,170,18,20,10,27.4,15.38,13.03,7,2,14,5,12,128.3,72.12,89.33,82.67,258.99,88.44,1,Darmstadt 98 4-1 Bochum,2025-08-02,W,3,1,0,0,14.219999999999999,0.07999999999999996,2.06,0.94,4.753424657534247,2.1095890410958904,3.215384615384615,3
