,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
10,Eintracht Braunschweig,1.53,0.78,0.75,0.51,0.78,-0.27,1.03,0,1.03,1.53,0.78,0.75,1,2,-1,-1.75,45.4,58.57,45.56,0.79,0.43,174,11,11,8,13.92,18.6,12.84,8,14,22,7,8,77.1,59.72,121.8,85.29,145.4,85.78,5,Eintracht Braunschweig 1-2 Preußen Münster,2026-03-01,L,0,0,0,1,13.170000000000002,0.36000000000000004,2.21,-2.21,1.9367088607594936,0.6455696202531646,1.8139534883720931,1.8139534883720931
11,Eintracht Braunschweig,0.82,2.52,-1.7,0.82,1.64,-0.82,0,0.12,-0.12,0.82,1.76,-0.94,1,3,-2,-0.3,41.5,48.65,44.91,0.18,0.94,162,7,7,12,38.89,12.77,18.04,4,1,5,0,12,50,30.3,86.33,81.65,64.03,31.89,5,Elversberg 3-1 Eintracht Braunschweig,2026-02-21,L,0,0,0,1,7.149999999999999,-0.76,0.45,-0.45,4.555555555555555,4.555555555555555,2.6808510638297873,1.7446808510638299
12,Eintracht Braunschweig,1.95,1.38,0.57,1.15,0.89,0.26,0.04,0.49,-0.45,1.19,1.38,-0.19,2,2,0,-0.57,37.4,45.55,45.25,0.86,1.11,149,16,15,12,17.44,10.81,17.39,6,7,13,6,10,83.9,46.64,137.93,94.78,191.3,79.42,11,Eintracht Braunschweig 2-2 Darmstadt 98,2026-02-14,D,1,0,1,0,8.149999999999999,-0.2500000000000001,1.89,-0.89,2.2674418604651163,1.3372093023255813,1.243243243243243,0.8018018018018017
13,Eintracht Braunschweig,1.15,2.25,-1.1,1.14,1.76,-0.62,0.01,0.49,-0.48,1.15,2.25,-1.1,2,3,-1,0.1,53.2,46.08,45.63,0.7,0.76,196,10,10,20,14.29,26.32,10.5,3,4,16,1,11,69.3,35.14,16.47,21.22,45.43,23.31,6,Arminia Bielefeld 3-2 Eintracht Braunschweig,2026-02-08,L,0,0,0,1,-7.1200000000000045,-0.06000000000000005,0.79,-0.79,1.6428571428571428,1.6285714285714286,2.9605263157894735,2.3157894736842106
14,Eintracht Braunschweig,1.7,1.01,0.69,1.49,1.01,0.48,0.21,0,0.21,1.7,1.01,0.69,1,0,1,0.31,45.3,38.55,41.89,0.55,0.82,158,10,14,9,25.45,10.98,14.21,6,3,14,6,10,55.5,36.35,91.8,85.26,115.17,65.14,3,Eintracht Braunschweig 1-0 Karlsruher SC,2026-01-31,W,3,1,0,0,-6.75,-0.2699999999999999,2.07,0.93,3.0909090909090904,2.709090909090909,1.2317073170731707,1.2317073170731707
15,Eintracht Braunschweig,1.84,0.26,1.58,0.67,0.24,0.43,1.17,0.02,1.15,1.84,0.26,1.58,0,0,0,-1.58,71.2,84.78,58.54,1.26,0.15,431,17,19,4,15.08,26.67,6.52,4,1,41,10,18,289.1,94.45,13.53,15.6,233.5,91.72,8,Greuther Fürth 0-0 Eintracht Braunschweig,2026-01-24,D,1,0,1,0,13.579999999999998,1.11,2.86,-1.86,1.4603174603174605,0.5317460317460317,1.7333333333333334,1.6
16,Eintracht Braunschweig,0.42,2.03,-1.61,0.17,1.69,-1.52,0.25,0.34,-0.09,0.42,2.03,-1.61,0,3,-3,-1.39,44.1,49.15,47.92,0.36,0.64,192,5,6,21,16.67,32.81,11.35,6,4,11,1,12,71.9,33.44,84.47,68.82,72.33,38.34,5,Eintracht Braunschweig 0-3 Magdeburg,2026-01-16,L,0,0,0,1,5.049999999999997,-0.28,0.25,-0.25,1.1666666666666667,0.47222222222222227,3.1718749999999996,2.640625
17,Eintracht Braunschweig,2.31,1.96,0.35,2.26,1.5,0.76,0.04,0.45,-0.41,2.31,1.96,0.35,2,1,1,0.65,41.9,38.22,39.11,0.42,1.04,101,6,13,10,30.95,9.62,13.45,1,4,12,3,13,56.2,33.75,66.2,67.28,72.87,45.68,6,Eintracht Braunschweig 2-1 Schalke 04,2025-12-21,W,3,1,0,0,-3.6799999999999997,-0.6200000000000001,1.69,1.31,5.5,5.3809523809523805,1.8846153846153846,1.4423076923076923
18,Eintracht Braunschweig,3.37,2.15,1.22,2.66,2.15,0.51,0.71,0,0.71,3.37,2.15,1.22,3,2,1,-0.22,49.2,58.31,48.65,1.08,0.51,243,18,17,10,15.74,19.61,12.22,5,1,24,8,13,145.7,74.07,62.33,73.28,203.37,85.22,3,Dynamo Dresden 2-3 Eintracht Braunschweig,2025-12-12,W,3,1,0,0,9.11,0.5700000000000001,2,1,3.1203703703703702,2.462962962962963,4.215686274509804,4.215686274509804
19,Eintracht Braunschweig,3.07,0.91,2.16,2.29,0.91,1.38,0.03,0,0.03,2.31,0.91,1.4,1,1,0,-2.16,38.2,49.61,48.97,1.07,0.73,148,18,20,11,18.69,15.07,16.18,2,6,11,2,13,103.9,66.86,129.33,93.45,199.63,90.29,4,Eintracht Braunschweig 1-1 Holstein Kiel,2025-12-07,D,1,0,1,0,11.409999999999997,0.3400000000000001,2.6,-1.6,2.8691588785046727,2.1401869158878504,1.2465753424657535,1.2465753424657535
