,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
10,Schalke 04,1.66,1.15,0.51,1.18,0.86,0.32,0.48,0.29,0.19,1.66,1.15,0.51,1,1,0,-0.51,60.8,70.71,54.12,0.98,0.3,306,17,16,6,16.33,20,9.27,8,1,33,5,10,136.5,84.05,20.6,26.03,101.23,69.91,5,Greuther Fürth 1-1 Schalke 04,2026-02-28,D,1,0,1,0,9.909999999999997,0.6799999999999999,1.91,-0.91,1.693877551020408,1.2040816326530612,3.833333333333333,2.8666666666666667
11,Schalke 04,3.52,1.9,1.62,2.66,1.14,1.52,0.1,0,0.1,2.76,1.14,1.62,5,3,2,0.38,48.3,67.22,54.89,1,0.31,268,20,23,15,23,48.39,10.51,7,2,26,4,19,170.2,88.6,102.93,89.09,216.77,95.75,4,Schalke 04 5-3 Magdeburg,2026-02-21,W,3,1,0,0,18.92,0.69,2.16,0.84,3.52,2.66,6.129032258064516,3.6774193548387095
12,Schalke 04,2.94,1.4,1.54,1.23,0.45,0.78,1.71,0.19,1.52,2.94,0.64,2.3,2,1,1,-0.54,45.8,59.93,53.72,1.01,0.5,211,18,21,10,20.79,20,7.81,10,3,27,6,12,153.2,71.36,85.33,89.44,216.53,91.09,0,Holstein Kiel 1-2 Schalke 04,2026-02-15,W,3,1,0,0,14.130000000000003,0.51,2.27,0.73,2.910891089108911,1.2178217821782178,2.8,0.9
13,Schalke 04,1.67,0.94,0.73,1.27,0.28,0.99,0.4,0.66,-0.26,1.67,0.94,0.73,2,2,0,-0.73,43.6,45.76,47.92,1.12,0.38,192,19,16,10,14.29,26.32,10.12,8,7,30,7,15,88.2,47.88,85.4,81.39,172.57,70.83,2,Schalke 04 2-2 Dynamo Dresden,2026-02-07,D,1,0,1,0,2.1599999999999966,0.7400000000000001,2.12,-1.12,1.4910714285714284,1.1339285714285714,2.4736842105263155,0.736842105263158
14,Schalke 04,1.27,1.54,-0.27,0.71,1.54,-0.83,0.56,0,0.56,1.27,1.54,-0.27,0,2,-2,-1.73,61.2,67.58,46.01,0.73,0.62,261,12,12,10,16.44,16.13,10.48,4,3,15,4,13,115.6,78.69,29.47,20.46,57.67,36.14,4,Bochum 2-0 Schalke 04,2026-01-31,L,0,0,0,1,6.3799999999999955,0.10999999999999999,1.28,-1.28,1.7397260273972603,0.9726027397260274,2.4838709677419355,2.4838709677419355
15,Schalke 04,1.11,1.58,-0.47,0.52,1.55,-1.03,0.6,0.03,0.57,1.11,1.58,-0.47,2,2,0,0.47,60.4,68.13,49.68,1.03,0.51,285,22,17,8,16.5,15.69,8.88,4,5,27,10,12,141,76.59,34.6,38.36,110.43,65.94,4,Schalke 04 2-2 Kaiserslautern,2026-01-25,D,1,0,1,0,7.729999999999997,0.52,1.1,-0.1,1.0776699029126213,0.5048543689320388,3.0980392156862746,3.0392156862745097
16,Schalke 04,0.71,1.57,-0.86,0.13,1.24,-1.11,0.58,0.33,0.25,0.71,1.57,-0.86,0,0,0,0.86,39.7,38.52,46.46,0.34,0.74,134,9,5,11,14.71,14.86,13.81,5,4,13,3,13,28.4,18,123.93,94.03,76.73,55.44,2,Hertha BSC 0-0 Schalke 04,2026-01-17,D,1,0,1,0,-1.1799999999999997,-0.39999999999999997,0.68,0.32,2.0882352941176467,0.38235294117647056,2.121621621621622,1.6756756756756757
17,Schalke 04,1.96,2.31,-0.35,1.5,2.26,-0.76,0.45,0.04,0.41,1.96,2.31,-0.35,1,2,-1,-0.65,58.1,61.78,46.7,1.04,0.42,218,23,10,13,9.62,30.95,10.57,4,1,14,4,13,110.3,66.25,32.2,32.72,86.67,54.32,6,Eintracht Braunschweig 2-1 Schalke 04,2025-12-21,L,0,0,0,1,3.6799999999999997,0.6200000000000001,1.31,-1.31,1.8846153846153846,1.4423076923076923,5.5,5.3809523809523805
18,Schalke 04,0.94,0.66,0.28,0.94,0.63,0.31,0,0.03,-0.03,0.94,0.66,0.28,1,0,1,0.72,34.5,45.02,48.84,0.67,0.46,131,7,7,5,10.45,10.87,9,7,1,8,0,18,49.3,40.05,126.13,95.84,146.07,78.21,5,Schalke 04 1-0 Nürnberg,2025-12-14,W,3,1,0,0,10.520000000000003,0.21000000000000002,1.9,1.1,1.4029850746268655,1.4029850746268655,1.434782608695652,1.3695652173913042
19,Schalke 04,2.46,1.43,1.03,1.52,1.43,0.09,0.18,0,0.18,1.7,1.43,0.27,2,0,2,0.97,45.8,50.77,47.67,0.68,0.58,176,10,13,14,19.12,24.14,9.94,5,4,18,4,8,63.9,43.86,66,71.95,102.93,60.8,6,Fortuna Düsseldorf 0-2 Schalke 04,2025-12-05,W,3,1,0,0,4.970000000000006,0.10000000000000009,2.09,0.91,3.617647058823529,2.235294117647059,2.4655172413793105,2.4655172413793105
20,Schalke 04,2.64,0.84,1.8,2.64,0.28,2.36,0,0.56,-0.56,2.64,0.84,1.8,2,1,1,-0.8,39,54.65,49.93,1.02,0.62,144,19,14,8,13.73,12.9,13.14,3,3,14,3,7,96,66.12,124.4,97.8,179.23,94.8,8,Schalke 04 2-1 Paderborn,2025-11-28,W,3,1,0,0,15.649999999999999,0.4,2.56,0.44,2.588235294117647,2.588235294117647,1.3548387096774193,0.4516129032258065
21,Schalke 04,1.38,0.67,0.71,1.16,0.59,0.57,0.22,0.08,0.14,1.38,0.67,0.71,0,0,0,-0.71,44.2,69.18,54.25,1.37,0.76,260,17,14,5,10.22,6.58,12.66,5,2,21,6,20,183.3,75.62,149,78.67,246.4,94.77,2,Preußen Münster 0-0 Schalke 04,2025-11-22,D,1,0,1,0,24.980000000000004,0.6100000000000001,2.26,-1.26,1.0072992700729926,0.8467153284671531,0.8815789473684211,0.7763157894736842
22,Schalke 04,0.83,0.29,0.54,0.83,0.27,0.56,0,0.02,-0.02,0.83,0.29,0.54,1,0,1,0.46,32.6,45.39,51.43,1.01,0.26,146,15,7,6,6.93,23.08,11.27,4,3,7,1,17,60.6,45.8,167.33,98.55,204.47,89.38,8,Schalke 04 1-0 Elversberg,2025-11-08,W,3,1,0,0,12.79,0.75,2.5,0.5,0.8217821782178217,0.8217821782178217,1.1153846153846152,1.0384615384615385
23,Schalke 04,1.51,0.88,0.63,0.65,0.74,-0.09,0.1,0.14,-0.04,0.75,0.88,-0.13,1,2,-1,-1.63,35.8,46.7,48.14,0.38,0.45,121,15,11,8,28.95,17.78,12.53,6,4,19,7,15,81.3,51.92,171.67,99.81,192.53,93.22,4,Karlsruher SC 2-1 Schalke 04,2025-11-01,L,0,0,0,1,10.900000000000006,-0.07,2.09,-2.09,3.973684210526316,1.7105263157894737,1.9555555555555555,1.6444444444444444
24,Schalke 04,1.74,0.48,1.26,1.58,0.37,1.21,0.16,0.1,0.06,1.74,0.48,1.26,1,0,1,-0.26,38.3,53.49,47.66,1.18,0.41,155,13,10,7,8.47,17.07,13.5,10,3,18,6,16,99,60.04,158.53,95.73,233.1,91.19,2,Schalke 04 1-0 Darmstadt 98,2025-10-24,W,3,1,0,0,15.190000000000005,0.77,2.64,0.36,1.4745762711864407,1.3389830508474578,1.170731707317073,0.9024390243902439
25,Schalke 04,2.83,1.32,1.51,1.61,1.19,0.42,1.22,0.13,1.09,2.83,1.32,1.51,3,0,3,1.49,32.2,39.88,51.37,0.52,0.66,145,12,16,13,30.77,19.7,14.21,9,3,19,7,20,78.3,36.78,183.07,98.18,238.8,97.82,4,Hannover 96 0-3 Schalke 04,2025-10-17,W,3,1,0,0,7.68,-0.14,2.29,0.71,5.4423076923076925,3.0961538461538463,2,1.8030303030303028
26,Schalke 04,1.48,1.4,0.08,1.48,0.91,0.57,0,0.49,-0.49,1.48,1.4,0.08,2,1,1,0.92,29.9,41.34,45.55,0.32,1.13,102,7,11,11,34.38,9.73,14.82,4,3,9,2,13,44.2,29.64,158.53,99.04,177.13,84.32,3,Arminia Bielefeld 1-2 Schalke 04,2025-10-05,W,3,1,0,0,11.440000000000005,-0.8099999999999998,1.56,1.44,4.625,4.625,1.238938053097345,0.8053097345132745
27,Schalke 04,2.44,0.32,2.12,2.11,0.32,1.79,0.32,0,0.32,2.44,0.32,2.12,1,0,1,-1.12,58.8,74.25,53.78,1.03,0.45,283,36,24,7,23.3,15.56,6.4,14,2,29,10,8,227.3,86.76,48.67,45.97,210.77,90.01,2,Schalke 04 1-0 Greuther Fürth,2025-09-26,W,3,1,0,0,15.450000000000003,0.5800000000000001,2.87,0.13,2.3689320388349513,2.0485436893203883,0.7111111111111111,0.7111111111111111
28,Schalke 04,1.6,1.08,0.52,0.84,1.01,-0.17,0,0.07,-0.07,0.84,1.08,-0.24,2,0,2,1.48,39.6,47.73,51.67,0.44,0.65,176,14,10,8,22.73,12.31,10.08,8,3,14,2,14,87.7,53.28,162.67,91.11,232.77,99.29,5,Magdeburg 0-2 Schalke 04,2025-09-20,W,3,1,0,0,8.129999999999995,-0.21000000000000002,1.94,1.06,3.6363636363636367,1.909090909090909,1.6615384615384616,1.5538461538461539
29,Schalke 04,0.83,1.29,-0.46,0.55,1.26,-0.71,0.28,0.03,0.25,0.83,1.29,-0.46,0,1,-1,-0.54,52.5,77.43,53.79,0.91,0.27,291,19,12,10,13.19,37.04,9.61,6,2,36,8,17,142.8,85.3,87.87,87.57,164.67,87.48,4,Schalke 04 0-1 Holstein Kiel,2025-09-13,L,0,0,0,1,24.930000000000007,0.64,1.01,-1.01,0.9120879120879121,0.6043956043956045,4.777777777777778,4.666666666666666
30,Schalke 04,1.36,1.46,-0.1,0.33,1.37,-1.04,0.26,0.09,0.17,0.6,1.46,-0.86,1,0,1,1.1,39.5,55.4,50.55,0.38,0.52,159,14,16,5,42.11,9.62,15.34,6,2,17,6,10,110,78.18,140.87,98,222,98.89,8,Dynamo Dresden 0-1 Schalke 04,2025-08-31,W,3,1,0,0,15.899999999999999,-0.14,1.42,1.58,3.5789473684210527,0.868421052631579,2.8076923076923075,2.6346153846153846
31,Schalke 04,1.52,2.33,-0.81,1.24,1.14,0.1,0.28,0.43,-0.15,1.52,1.57,-0.05,2,1,1,1.81,50.6,43.58,45.11,0.28,0.6,159,6,15,14,53.57,23.33,11.52,5,2,17,8,6,81.4,45.53,29.47,36.12,65.23,37.57,4,Schalke 04 2-1 Bochum,2025-08-23,W,3,1,0,0,-7.020000000000003,-0.31999999999999995,1.02,1.98,5.428571428571428,4.428571428571428,3.8833333333333337,1.9
32,Schalke 04,0.61,1.96,-1.35,0.58,1.14,-0.56,0.03,0.06,-0.03,0.61,1.2,-0.59,0,1,-1,0.35,45.5,46.8,47.57,0.57,0.47,168,10,9,11,15.79,23.4,13.18,4,2,14,3,16,66.4,40.74,75.27,64.26,89.87,47.02,8,Kaiserslautern 1-0 Schalke 04,2025-08-09,L,0,0,0,1,1.2999999999999972,0.09999999999999998,0.43,-0.43,1.0701754385964912,1.0175438596491229,4.170212765957447,2.4255319148936167
33,Schalke 04,1.9,0.64,1.26,1.6,0.44,1.16,0.3,0.2,0.1,1.9,0.64,1.26,2,1,1,-0.26,36.8,37.96,45.09,0.82,0.75,121,14,14,9,17.07,12,9.13,11,1,20,5,19,62.8,43.46,98.47,82.65,152.53,82.82,4,Schalke 04 2-1 Hertha BSC,2025-08-01,W,3,1,0,0,1.1600000000000037,0.06999999999999995,2.53,0.47,2.317073170731707,1.9512195121951221,0.8533333333333334,0.5866666666666667
