,Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1 xT,Shots Faced per 1 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date,Result,Pts,Win,Draw,Loss,Field Tilt - Possession,xT Difference,xPts,Pts-xPts,xG per 1 xT,Open Play xG per 1 xT,xGA per 1 xT Against,Open Play xGA per 1 xT Against
23,Hannover 96,1.37,1.59,-0.22,1.2,0.75,0.45,0.17,0.08,0.09,1.37,0.83,0.54,2,2,0,0.22,53,52.29,43.49,0.57,0.54,184,9,11,13,19.3,24.07,10.62,1,5,16,4,15,99.7,62.47,28.53,27.85,64.3,30.64,1,Elversberg 2-2 Hannover 96,2025-10-31,D,1,0,1,0,-0.7100000000000009,0.029999999999999916,1.33,-0.33,2.403508771929825,2.1052631578947367,2.944444444444444,1.3888888888888888
24,Hannover 96,2.5,0.63,1.87,2.3,0.17,2.13,0.21,0.45,-0.24,2.5,0.63,1.87,3,0,3,1.13,72.5,68.87,45.28,1.7,0.09,297,22,24,8,14.12,88.89,5.71,12,1,13,5,17,191.3,92.86,0,0,65.7,53.01,0,Eintracht Braunschweig 0-3 Hannover 96,2025-10-26,W,3,1,0,0,-3.6299999999999955,1.6099999999999999,2.68,0.32,1.4705882352941178,1.352941176470588,7,1.888888888888889
25,Hannover 96,1.32,2.83,-1.51,1.19,1.61,-0.42,0.13,1.22,-1.09,1.32,2.83,-1.51,0,3,-3,-1.49,67.8,60.12,45.93,0.66,0.52,268,12,13,16,19.7,30.77,6,3,9,23,9,7,134.6,63.22,3.4,1.82,5.33,2.18,1,Hannover 96 0-3 Schalke 04,2025-10-17,L,0,0,0,1,-7.68,0.14,0.71,-0.71,2,1.8030303030303028,5.4423076923076925,3.0961538461538463
26,Hannover 96,2.28,1.5,0.78,2.15,1.31,0.84,0.13,0.19,-0.06,2.28,1.5,0.78,2,2,0,-0.78,57.4,61.78,46.93,0.83,0.39,245,22,10,12,12.05,30.77,11.38,4,2,20,6,14,108,72.1,30.53,27.79,98.17,58.11,1,Greuther Fürth 2-2 Hannover 96,2025-10-05,D,1,0,1,0,4.380000000000003,0.43999999999999995,1.97,-0.97,2.746987951807229,2.5903614457831328,3.846153846153846,3.358974358974359
27,Hannover 96,3.43,1.22,2.21,1.91,1.19,0.72,0,0.03,-0.03,1.91,1.22,0.69,3,1,2,-0.21,55,51.55,44.2,0.7,0.91,197,17,13,11,18.57,12.09,7.83,6,5,17,4,16,97,57.4,8.6,10.78,82.57,45.16,2,Hannover 96 3-1 Arminia Bielefeld,2025-09-28,W,3,1,0,0,-3.450000000000003,-0.21000000000000008,2.49,0.51,4.9,2.7285714285714286,1.3406593406593406,1.3076923076923075
28,Hannover 96,3.67,1.39,2.28,2.44,0.58,1.86,0.47,0.81,-0.34,2.91,1.39,1.52,2,2,0,-2.28,67.7,69.25,51.82,1.33,0.51,301,21,17,9,12.78,17.65,7.48,2,6,19,8,12,241.2,84.72,12.8,8.54,173.4,70.81,0,Dynamo Dresden 2-2 Hannover 96,2025-09-21,D,1,0,1,0,1.5499999999999972,0.8200000000000001,2.45,-1.45,2.7593984962406015,1.8345864661654134,2.725490196078431,1.1372549019607843
29,Hannover 96,2.65,1.19,1.46,1.88,1.19,0.69,0.78,0,0.78,2.65,1.19,1.46,0,3,-3,-4.46,65.9,71.57,51.47,1.36,0.6,291,22,21,9,15.44,15,7.81,6,4,32,15,13,199.9,94.2,21.87,19.62,114.1,61.77,2,Hannover 96 0-3 Hertha BSC,2025-09-13,L,0,0,0,1,5.6699999999999875,0.7600000000000001,2.32,-2.32,1.9485294117647056,1.3823529411764703,1.9833333333333334,1.9833333333333334
30,Hannover 96,1.03,0.94,0.09,0.89,0.93,-0.04,0.13,0.01,0.12,1.03,0.94,0.09,2,1,1,0.91,59.8,70.79,47.96,0.37,0.74,269,12,12,9,32.43,12.16,6.88,8,3,21,5,16,152.8,83.54,34.33,29.59,121.07,74.98,3,Holstein Kiel 1-2 Hannover 96,2025-08-30,W,3,1,0,0,10.990000000000009,-0.37,1.61,1.39,2.7837837837837838,2.4054054054054053,1.2702702702702702,1.2567567567567568
31,Hannover 96,3,2.11,0.89,2.69,1.35,1.34,0.31,0,0.31,3,1.35,1.65,3,1,2,1.11,47.1,60.54,46.79,0.91,0.74,193,20,23,14,25.27,18.92,12.35,9,4,14,4,22,143,75.98,67.93,73.73,243.23,89.32,3,Hannover 96 3-1 Magdeburg,2025-08-23,W,3,1,0,0,13.439999999999998,0.17000000000000004,1.9,1.1,3.2967032967032965,2.9560439560439558,2.8513513513513513,1.8243243243243246
32,Hannover 96,1.74,0.57,1.17,0.89,0.32,0.57,0.09,0.25,-0.16,0.98,0.57,0.41,2,0,2,0.83,47.4,35.23,39.43,0.78,0.45,136,8,10,9,12.82,20,9.7,1,6,13,2,14,51.5,32.23,36.93,33.25,54,32.51,1,Fortuna Düsseldorf 0-2 Hannover 96,2025-08-09,W,3,1,0,0,-12.170000000000002,0.33,2.54,0.46,2.230769230769231,1.141025641025641,1.2666666666666666,0.7111111111111111
33,Hannover 96,2.08,0.47,1.61,1.92,0.43,1.49,0.16,0.03,0.13,2.08,0.47,1.61,1,0,1,-0.61,61.8,57.64,47.19,0.87,0.5,261,24,14,9,16.09,18,7.22,6,4,19,5,13,135.7,74.81,11.07,10.69,88.97,55.7,7,Hannover 96 1-0 Kaiserslautern,2025-08-03,W,3,1,0,0,-4.159999999999997,0.37,2.72,0.28,2.3908045977011496,2.206896551724138,0.94,0.86
